Id,TaskNo,WmsTaskNo,TaskType,DeviceCode,DeviceType,Barcode,FromNode,ToNode,Priority,Status,RunStatus,SendTime,FinishTime,SendTask,Seq,WarehouseId,CreateTime,UpdateTime,CreateUserId,UpdateUserId,IsDelete
23112884535237,13207,20251110000015,Task_Move,FRGV05,FRGV,T005155,13-034-010,22-029-010,999,1,1,2025-11-10 08:30:23.083,2025-11-10 08:37:48.357,13207.0,1,1,2025-11-10 08:30:12.450,,,,0
23112886190021,13208,20251110000016,Task_Move,FRGV08,FRGV,T010248,13-007-008,10-040-008,999,1,1,2025-11-10 08:34:41.183,2025-11-10 08:38:54.730,13208.0,1,1,2025-11-10 08:30:25.380,,,,0
23112891330373,13209,20251110000017,Task_Move,FRGV02,FRGV,T010294,13-011-008,10-042-008,999,1,1,2025-11-10 08:36:59.357,2025-11-10 08:39:48.947,13209.0,1,1,2025-11-10 08:31:05.537,,,,0
23112894145733,13210,20251110000018,Task_Move,FRGV09,FRGV,T002039,14-034-010,01-029-010,999,1,1,2025-11-10 08:31:37.500,2025-11-10 08:38:08.457,13210.0,1,1,2025-11-10 08:31:27.533,,,,0
23112914067013,13212,20251110000019,Task_OutBound,FRGV03,FRGV,T010571,26-020-008,2020,999,1,1,2025-11-10 08:37:19.440,2025-11-10 08:41:29.167,13212.0,1,1,2025-11-10 08:34:03.167,,,,0
23112914067014,13212,20251110000019,Task_OutBound,Lift02,Lift,T010571,2020,3014,999,1,1,2025-11-10 08:42:19.347,2025-11-10 08:43:28.167,,2,1,2025-11-10 08:34:03.167,,,,0
23112914067015,13212,20251110000019,Task_OutBound,3014,Convery,T010571,3014,3013,999,1,1,2025-11-10 08:43:28.520,2025-11-10 08:45:15.337,,3,1,2025-11-10 08:34:03.167,,,,0
23112969421893,13218,20251110000020,Task_InBound,3013,Convery,T010801,3013,3006,999,1,1,2025-11-10 08:41:16.187,2025-11-10 08:42:18.727,,1,1,2025-11-10 08:41:15.627,,,,0
23112969421894,13218,20251110000020,Task_InBound,Lift01,Lift,T010801,3006,2007,999,1,1,2025-11-10 08:42:20.453,2025-11-10 08:43:32.980,,2,1,2025-11-10 08:41:15.627,,,,0
23112969421895,13218,20251110000020,Task_InBound,FRGV14,FRGV,T010801,2007,02-013-007,999,1,1,2025-11-10 08:43:36.873,2025-11-10 08:45:52.770,13218.0,3,1,2025-11-10 08:41:15.627,,,,0
23112974262853,13221,20251110000021,Task_InBound,3013,Convery,T009540,3013,3006,999,1,1,2025-11-10 08:41:54.210,2025-11-10 08:42:57.327,,1,1,2025-11-10 08:41:53.447,,,,0
23112974262854,13221,20251110000021,Task_InBound,Lift01,Lift,T009540,3006,2008,999,1,1,2025-11-10 08:43:30.103,2025-11-10 08:44:45.943,,2,1,2025-11-10 08:41:53.447,,,,0
23112974262855,13221,20251110000021,Task_InBound,FRGV03,FRGV,T009540,2008,13-007-008,999,1,1,2025-11-10 08:44:46.860,2025-11-10 08:46:53.667,13221.0,3,1,2025-11-10 08:41:53.447,,,,0
23112979790277,13223,20251110000022,Task_InBound,3013,Convery,T006615,3013,3006,999,1,1,2025-11-10 08:42:37.800,2025-11-10 08:44:05.077,,1,1,2025-11-10 08:42:36.630,,,,0
23112979790278,13223,20251110000022,Task_InBound,Lift01,Lift,T006615,3006,2007,999,1,1,2025-11-10 08:44:44.917,2025-11-10 08:46:01.280,,2,1,2025-11-10 08:42:36.630,,,,0
23112979790279,13223,20251110000022,Task_InBound,FRGV01,FRGV,T006615,2007,23-018-007,999,1,1,2025-11-10 08:46:04.753,2025-11-10 08:49:22.950,13223.0,3,1,2025-11-10 08:42:36.630,,,,0
23112987369669,13225,20251110000023,Task_InBound,3013,Convery,T008634,3013,3006,999,1,1,2025-11-10 08:43:36.413,2025-11-10 08:45:22.250,,1,1,2025-11-10 08:43:35.847,,,,0
23112987369670,13225,20251110000023,Task_InBound,Lift01,Lift,T008634,3006,2008,999,1,1,2025-11-10 08:46:00.550,2025-11-10 08:47:17.033,,2,1,2025-11-10 08:43:35.847,,,,0
23112987369671,13225,20251110000023,Task_InBound,FRGV04,FRGV,T008634,2008,13-011-008,999,1,1,2025-11-10 08:47:24.827,2025-11-10 08:52:52.940,13225.0,3,1,2025-11-10 08:43:35.847,,,,0
23112998458821,13227,20251110000024,Task_InBound,3013,Convery,T009411,3013,3006,999,1,1,2025-11-10 08:45:03.203,2025-11-10 08:46:35.280,,1,1,2025-11-10 08:45:02.480,,,,0
23112998458822,13227,20251110000024,Task_InBound,Lift01,Lift,T009411,3006,2002,999,1,1,2025-11-10 08:47:15.990,2025-11-10 08:48:16.937,,2,1,2025-11-10 08:45:02.480,,,,0
23112998458823,13227,20251110000024,Task_InBound,FRGV10,FRGV,T009411,2002,12-032-002,999,1,1,2025-11-10 08:48:18.827,2025-11-10 09:30:45.017,13227.0,3,1,2025-11-10 08:45:02.480,,,,0
23113003448773,13229,20251110000025,Task_InBound,3013,Convery,T010571,3013,3006,999,1,1,2025-11-10 08:45:43.600,2025-11-10 08:47:52.923,,1,1,2025-11-10 08:45:41.463,,,,0
23113003448774,13229,20251110000025,Task_InBound,Lift01,Lift,T010571,3006,2008,999,1,1,2025-11-10 08:48:15.963,2025-11-10 08:49:17.113,,2,1,2025-11-10 08:45:41.463,,,,0
23113003448775,13229,20251110000025,Task_InBound,FRGV06,FRGV,T010571,2008,27-012-008,999,1,1,2025-11-10 08:49:30.937,2025-11-10 08:53:12.527,13229.0,3,1,2025-11-10 08:45:41.463,,,,0
23113006670149,13231,20251110000027,Task_OutBound,FRGV02,FRGV,T010128,12-040-008,2020,999,1,1,2025-11-10 08:46:15.300,2025-11-10 08:49:52.823,13231.0,1,1,2025-11-10 08:46:06.630,,,,0
23113006670150,13231,20251110000027,Task_OutBound,Lift02,Lift,T010128,2020,3014,999,1,1,2025-11-10 08:49:53.647,2025-11-10 08:51:02.383,,2,1,2025-11-10 08:46:06.630,,,,0
23113006670151,13231,20251110000027,Task_OutBound,3014,Convery,T010128,3014,3013,999,1,1,2025-11-10 08:51:02.697,2025-11-10 08:51:45.197,,3,1,2025-11-10 08:46:06.630,,,,0
23113007513669,13233,20251110000028,Task_OutBound,FRGV07,FRGV,T008268,23-014-007,2019,999,1,1,2025-11-10 08:46:25.290,2025-11-10 08:51:39.040,13233.0,1,1,2025-11-10 08:46:13.220,,,,0
23113007513670,13233,20251110000028,Task_OutBound,Lift02,Lift,T008268,2019,3014,999,1,1,2025-11-10 08:52:59.623,2025-11-10 08:54:02.960,,2,1,2025-11-10 08:46:13.220,,,,0
23113007513671,13233,20251110000028,Task_OutBound,3014,Convery,T008268,3014,3013,999,1,1,2025-11-10 08:54:03.220,2025-11-10 08:54:46.783,,3,1,2025-11-10 08:46:13.220,,,,0
23113008074309,13235,20251110000029,Task_OutBound,FRGV11,FRGV,T010778,01-030-008,2020,999,1,1,2025-11-10 08:46:25.343,2025-11-10 08:51:24.630,13235.0,1,1,2025-11-10 08:46:17.600,,,,0
23113008074310,13235,20251110000029,Task_OutBound,Lift02,Lift,T010778,2020,3014,999,1,1,2025-11-10 08:51:26.047,2025-11-10 08:52:34.603,,2,1,2025-11-10 08:46:17.600,,,,0
23113008074311,13235,20251110000029,Task_OutBound,3014,Convery,T010778,3014,3013,999,1,1,2025-11-10 08:52:34.857,2025-11-10 08:53:18.333,,3,1,2025-11-10 08:46:17.600,,,,0
23113008592069,13236,20251110000030,Task_OutBound,FRGV08,FRGV,T006235,20-034-008,2020,999,1,1,2025-11-10 08:46:25.407,2025-11-10 08:55:43.573,13236.0,1,1,2025-11-10 08:46:21.647,,,,0
23113008592070,13236,20251110000030,Task_OutBound,Lift02,Lift,T006235,2020,3014,999,1,1,2025-11-10 08:56:09.733,2025-11-10 08:57:18.637,,2,1,2025-11-10 08:46:21.647,,,,0
23113008592071,13236,20251110000030,Task_OutBound,3014,Convery,T006235,3014,3013,999,1,1,2025-11-10 08:57:18.843,2025-11-10 08:58:50.980,,3,1,2025-11-10 08:46:21.647,,,,0
23113009353669,13238,20251110000031,Task_OutBound,FRGV05,FRGV,T011004,15-034-010,2022,999,1,1,2025-11-10 08:46:51.477,2025-11-10 08:50:33.640,13238.0,1,1,2025-11-10 08:46:27.597,,,,0
23113009353670,13238,20251110000031,Task_OutBound,Lift02,Lift,T011004,2022,3014,999,1,1,2025-11-10 08:54:26.870,2025-11-10 08:55:45.583,,2,1,2025-11-10 08:46:27.597,,,,0
23113009353671,13238,20251110000031,Task_OutBound,3014,Convery,T011004,3014,3013,999,1,1,2025-11-10 08:55:45.993,2025-11-10 08:57:57.357,,3,1,2025-11-10 08:46:27.597,,,,0
23113014081349,13239,20251110000032,Task_Move,FRGV03,FRGV,T009540,13-007-008,26-020-008,999,1,1,2025-11-10 08:47:15.477,2025-11-10 08:51:50.897,13239.0,1,1,2025-11-10 08:47:04.530,,,,0
23113022186053,13230,20251110000026,Task_Move,FRGV14,FRGV,T010801,02-013-007,2031,999,1,1,2025-11-10 08:46:05.000,2025-11-10 08:50:59.147,13230.0,1,1,2025-11-10 08:46:01.000,,,,0
23113022186054,13230,20251110000026,Task_Move,Lift03,Lift,T010801,2031,2030,999,1,1,2025-11-10 08:51:00.997,2025-11-10 08:51:40.887,13230.0,2,1,2025-11-10 08:46:01.000,,,,0
